id,label,label_name
0,6,frog
1,9,truck
2,9,truck
3,4,deer
4,1,automobile
5,1,automobile
6,2,bird
7,7,horse
8,8,ship
9,3,cat
10,4,deer
11,7,horse
12,7,horse
13,2,bird
14,9,truck
15,9,truck
16,9,truck
17,3,cat
18,2,bird
19,6,frog
20,4,deer
21,3,cat
22,6,frog
23,6,frog
24,2,bird
25,6,frog
26,3,cat
27,5,dog
28,4,deer
29,0,airplane
30,0,airplane
31,9,truck
32,1,automobile
33,3,cat
34,4,deer
35,0,airplane
36,3,cat
37,7,horse
38,3,cat
39,3,cat
40,5,dog
41,2,bird
42,2,bird
43,7,horse
44,1,automobile
45,1,automobile
46,1,automobile
47,2,bird
48,2,bird
49,0,airplane
50,9,truck
51,5,dog
52,7,horse
53,9,truck
54,2,bird
55,2,bird
56,5,dog
57,2,bird
58,4,deer
59,3,cat
60,1,automobile
61,1,automobile
62,8,ship
63,2,bird
64,1,automobile
65,1,automobile
66,4,deer
67,9,truck
68,7,horse
69,8,ship
70,5,dog
71,9,truck
72,6,frog
73,7,horse
74,3,cat
75,1,automobile
76,9,truck
77,0,airplane
78,3,cat
79,1,automobile
80,3,cat
81,5,dog
82,4,deer
83,5,dog
84,7,horse
85,7,horse
86,4,deer
87,7,horse
88,9,truck
89,4,deer
90,2,bird
91,3,cat
92,8,ship
93,0,airplane
94,1,automobile
95,6,frog
96,1,automobile
97,1,automobile
98,4,deer
99,1,automobile
100,8,ship
101,3,cat
102,9,truck
103,6,frog
104,6,frog
105,1,automobile
106,8,ship
107,5,dog
108,2,bird
109,9,truck
110,9,truck
111,8,ship
112,1,automobile
113,7,horse
114,7,horse
115,0,airplane
116,0,airplane
117,6,frog
118,9,truck
119,1,automobile
120,2,bird
121,2,bird
122,9,truck
123,2,bird
124,6,frog
125,6,frog
126,1,automobile
127,9,truck
128,5,dog
129,0,airplane
130,4,deer
131,7,horse
132,6,frog
133,7,horse
134,1,automobile
135,8,ship
136,1,automobile
137,1,automobile
138,2,bird
139,8,ship
140,1,automobile
141,3,cat
142,3,cat
143,6,frog
144,2,bird
145,4,deer
146,9,truck
147,9,truck
148,5,dog
149,4,deer
150,3,cat
151,6,frog
152,7,horse
153,4,deer
154,6,frog
155,8,ship
156,5,dog
157,5,dog
158,4,deer
159,3,cat
160,1,automobile
161,8,ship
162,4,deer
163,7,horse
164,6,frog
165,0,airplane
166,9,truck
167,5,dog
168,1,automobile
169,3,cat
170,8,ship
171,2,bird
172,7,horse
173,5,dog
174,3,cat
175,4,deer
176,1,automobile
177,5,dog
178,7,horse
179,0,airplane
180,4,deer
181,7,horse
182,5,dog
183,5,dog
184,1,automobile
185,0,airplane
186,9,truck
187,6,frog
188,9,truck
189,0,airplane
190,8,ship
191,7,horse
192,8,ship
193,8,ship
194,2,bird
195,5,dog
196,2,bird
197,3,cat
198,5,dog
199,0,airplane
200,6,frog
201,1,automobile
202,9,truck
203,3,cat
204,6,frog
205,9,truck
206,1,automobile
207,3,cat
208,9,truck
209,6,frog
210,6,frog
211,7,horse
212,1,automobile
213,0,airplane
214,9,truck
215,5,dog
216,8,ship
217,5,dog
218,2,bird
219,9,truck
220,0,airplane
221,8,ship
222,8,ship
223,0,airplane
224,6,frog
225,9,truck
226,1,automobile
227,1,automobile
228,6,frog
229,3,cat
230,7,horse
231,6,frog
232,6,frog
233,0,airplane
234,6,frog
235,6,frog
236,1,automobile
237,7,horse
238,1,automobile
239,5,dog
240,8,ship
241,3,cat
242,6,frog
243,6,frog
244,8,ship
245,6,frog
246,8,ship
247,4,deer
248,6,frog
249,6,frog
250,1,automobile
251,3,cat
252,8,ship
253,3,cat
254,4,deer
255,1,automobile
256,7,horse
257,1,automobile
258,3,cat
259,8,ship
260,5,dog
261,1,automobile
262,1,automobile
263,4,deer
264,0,airplane
265,9,truck
266,3,cat
267,7,horse
268,4,deer
269,9,truck
270,9,truck
271,2,bird
272,4,deer
273,9,truck
274,9,truck
275,1,automobile
276,0,airplane
277,5,dog
278,9,truck
279,0,airplane
280,8,ship
281,2,bird
282,1,automobile
283,2,bird
284,0,airplane
285,5,dog
286,6,frog
287,3,cat
288,2,bird
289,7,horse
290,8,ship
291,8,ship
292,6,frog
293,0,airplane
294,7,horse
295,9,truck
296,4,deer
297,5,dog
298,6,frog
299,4,deer
300,2,bird
301,1,automobile
302,1,automobile
303,2,bird
304,1,automobile
305,5,dog
306,9,truck
307,9,truck
308,0,airplane
309,8,ship
310,4,deer
311,1,automobile
312,1,automobile
313,6,frog
314,3,cat
315,3,cat
316,9,truck
317,0,airplane
318,7,horse
319,9,truck
320,7,horse
321,7,horse
322,9,truck
323,1,automobile
324,5,dog
325,1,automobile
326,6,frog
327,6,frog
328,8,ship
329,7,horse
330,1,automobile
331,3,cat
332,0,airplane
333,3,cat
334,3,cat
335,2,bird
336,4,deer
337,5,dog
338,7,horse
339,5,dog
340,9,truck
341,0,airplane
342,3,cat
343,4,deer
344,0,airplane
345,4,deer
346,4,deer
347,6,frog
348,0,airplane
349,0,airplane
350,6,frog
351,6,frog
352,0,airplane
353,8,ship
354,1,automobile
355,6,frog
356,2,bird
357,9,truck
358,2,bird
359,5,dog
360,9,truck
361,6,frog
362,7,horse
363,4,deer
364,1,automobile
365,8,ship
366,7,horse
367,3,cat
368,6,frog
369,9,truck
370,3,cat
371,0,airplane
372,4,deer
373,0,airplane
374,5,dog
375,1,automobile
376,0,airplane
377,3,cat
378,4,deer
379,8,ship
380,5,dog
381,4,deer
382,7,horse
383,2,bird
384,3,cat
385,9,truck
386,7,horse
387,6,frog
388,7,horse
389,1,automobile
390,4,deer
391,7,horse
392,0,airplane
393,1,automobile
394,7,horse
395,3,cat
396,1,automobile
397,8,ship
398,4,deer
399,4,deer
400,2,bird
401,0,airplane
402,2,bird
403,2,bird
404,0,airplane
405,0,airplane
406,9,truck
407,0,airplane
408,9,truck
409,6,frog
410,8,ship
411,2,bird
412,7,horse
413,7,horse
414,4,deer
415,0,airplane
416,3,cat
417,0,airplane
418,8,ship
419,9,truck
420,4,deer
421,2,bird
422,7,horse
423,2,bird
424,5,dog
425,2,bird
426,5,dog
427,1,automobile
428,9,truck
429,4,deer
430,8,ship
431,5,dog
432,1,automobile
433,7,horse
434,4,deer
435,4,deer
436,0,airplane
437,6,frog
438,9,truck
439,0,airplane
440,7,horse
441,8,ship
442,8,ship
443,9,truck
444,9,truck
445,3,cat
446,3,cat
447,4,deer
448,0,airplane
449,4,deer
450,5,dog
451,6,frog
452,6,frog
453,0,airplane
454,1,automobile
455,0,airplane
456,8,ship
457,0,airplane
458,4,deer
459,8,ship
460,8,ship
461,1,automobile
462,5,dog
463,2,bird
464,6,frog
465,8,ship
466,1,automobile
467,0,airplane
468,0,airplane
469,7,horse
470,7,horse
471,5,dog
472,9,truck
473,6,frog
474,2,bird
475,8,ship
476,3,cat
477,4,deer
478,7,horse
479,3,cat
480,9,truck
481,0,airplane
482,1,automobile
483,2,bird
484,4,deer
485,8,ship
486,1,automobile
487,8,ship
488,6,frog
489,4,deer
490,4,deer
491,5,dog
492,7,horse
493,1,automobile
494,3,cat
495,9,truck
496,8,ship
497,0,airplane
498,1,automobile
499,7,horse
500,5,dog
501,8,ship
502,2,bird
503,8,ship
504,0,airplane
505,4,deer
506,1,automobile
507,8,ship
508,9,truck
509,8,ship
510,2,bird
511,9,truck
512,9,truck
513,2,bird
514,7,horse
515,5,dog
516,7,horse
517,3,cat
518,8,ship
519,8,ship
520,4,deer
521,4,deer
522,2,bird
523,7,horse
524,1,automobile
525,6,frog
526,4,deer
527,0,airplane
528,4,deer
529,6,frog
530,9,truck
531,7,horse
532,6,frog
533,2,bird
534,5,dog
535,5,dog
536,1,automobile
537,7,horse
538,2,bird
539,2,bird
540,2,bird
541,9,truck
542,5,dog
543,4,deer
544,2,bird
545,7,horse
546,8,ship
547,1,automobile
548,3,cat
549,4,deer
550,3,cat
551,7,horse
552,6,frog
553,9,truck
554,8,ship
555,0,airplane
556,6,frog
557,0,airplane
558,2,bird
559,2,bird
560,2,bird
561,1,automobile
562,8,ship
563,4,deer
564,0,airplane
565,1,automobile
566,8,ship
567,8,ship
568,1,automobile
569,5,dog
570,7,horse
571,6,frog
572,4,deer
573,5,dog
574,8,ship
575,7,horse
576,1,automobile
577,9,truck
578,1,automobile
579,9,truck
580,8,ship
581,4,deer
582,7,horse
583,3,cat
584,8,ship
585,8,ship
586,2,bird
587,6,frog
588,6,frog
589,7,horse
590,1,automobile
591,6,frog
592,8,ship
593,1,automobile
594,9,truck
595,7,horse
596,8,ship
597,3,cat
598,0,airplane
599,1,automobile
600,0,airplane
601,8,ship
602,8,ship
603,3,cat
604,0,airplane
605,0,airplane
606,1,automobile
607,5,dog
608,0,airplane
609,8,ship
610,8,ship
611,7,horse
612,9,truck
613,9,truck
614,0,airplane
615,9,truck
616,4,deer
617,1,automobile
618,3,cat
619,6,frog
620,6,frog
621,4,deer
622,4,deer
623,7,horse
624,5,dog
625,6,frog
626,0,airplane
627,8,ship
628,0,airplane
629,3,cat
630,2,bird
631,8,ship
632,4,deer
633,6,frog
634,9,truck
635,9,truck
636,7,horse
637,0,airplane
638,3,cat
639,3,cat
640,6,frog
641,7,horse
642,4,deer
643,9,truck
644,1,automobile
645,6,frog
646,2,bird
647,7,horse
648,2,bird
649,2,bird
650,0,airplane
651,6,frog
652,7,horse
653,5,dog
654,7,horse
655,6,frog
656,8,ship
657,9,truck
658,0,airplane
659,9,truck
660,4,deer
661,4,deer
662,7,horse
663,0,airplane
664,9,truck
665,4,deer
666,9,truck
667,6,frog
668,9,truck
669,4,deer
670,5,dog
671,7,horse
672,9,truck
673,2,bird
674,4,deer
675,5,dog
676,1,automobile
677,4,deer
678,3,cat
679,9,truck
680,6,frog
681,5,dog
682,6,frog
683,9,truck
684,3,cat
685,3,cat
686,5,dog
687,0,airplane
688,7,horse
689,2,bird
690,1,automobile
691,3,cat
692,6,frog
693,4,deer
694,0,airplane
695,0,airplane
696,2,bird
697,5,dog
698,0,airplane
699,1,automobile
700,0,airplane
701,2,bird
702,3,cat
703,9,truck
704,8,ship
705,4,deer
706,9,truck
707,8,ship
708,0,airplane
709,2,bird
710,6,frog
711,4,deer
712,4,deer
713,0,airplane
714,1,automobile
715,8,ship
716,8,ship
717,3,cat
718,6,frog
719,9,truck
720,6,frog
721,6,frog
722,7,horse
723,8,ship
724,2,bird
725,4,deer
726,5,dog
727,7,horse
728,6,frog
729,5,dog
730,3,cat
731,0,airplane
732,5,dog
733,0,airplane
734,5,dog
735,0,airplane
736,8,ship
737,2,bird
738,6,frog
739,7,horse
740,3,cat
741,8,ship
742,2,bird
743,1,automobile
744,7,horse
745,6,frog
746,7,horse
747,1,automobile
748,0,airplane
749,9,truck
750,5,dog
751,5,dog
752,0,airplane
753,1,automobile
754,7,horse
755,6,frog
756,9,truck
757,0,airplane
758,4,deer
759,7,horse
760,7,horse
761,1,automobile
762,5,dog
763,9,truck
764,4,deer
765,0,airplane
766,8,ship
767,5,dog
768,9,truck
769,9,truck
770,6,frog
771,7,horse
772,1,automobile
773,8,ship
774,3,cat
775,2,bird
776,3,cat
777,8,ship
778,2,bird
779,2,bird
780,4,deer
781,6,frog
782,0,airplane
783,0,airplane
784,5,dog
785,3,cat
786,8,ship
787,2,bird
788,3,cat
789,7,horse
790,2,bird
791,9,truck
792,3,cat
793,8,ship
794,7,horse
795,8,ship
796,2,bird
797,7,horse
798,9,truck
799,0,airplane
800,2,bird
801,3,cat
802,2,bird
803,2,bird
804,2,bird
805,3,cat
806,3,cat
807,6,frog
808,2,bird
809,3,cat
810,2,bird
811,8,ship
812,0,airplane
813,5,dog
814,5,dog
815,1,automobile
816,4,deer
817,5,dog
818,6,frog
819,6,frog
820,2,bird
821,7,horse
822,0,airplane
823,1,automobile
824,7,horse
825,7,horse
826,8,ship
827,2,bird
828,9,truck
829,2,bird
830,2,bird
831,4,deer
832,2,bird
833,1,automobile
834,1,automobile
835,1,automobile
836,6,frog
837,6,frog
838,6,frog
839,5,dog
840,1,automobile
841,1,automobile
842,7,horse
843,0,airplane
844,4,deer
845,3,cat
846,3,cat
847,7,horse
848,1,automobile
849,2,bird
850,3,cat
851,5,dog
852,5,dog
853,5,dog
854,6,frog
855,1,automobile
856,4,deer
857,3,cat
858,7,horse
859,8,ship
860,8,ship
861,3,cat
862,6,frog
863,6,frog
864,2,bird
865,3,cat
866,0,airplane
867,9,truck
868,4,deer
869,3,cat
870,8,ship
871,0,airplane
872,0,airplane
873,1,automobile
874,1,automobile
875,5,dog
876,4,deer
877,9,truck
878,3,cat
879,1,automobile
880,8,ship
881,9,truck
882,3,cat
883,9,truck
884,9,truck
885,2,bird
886,9,truck
887,4,deer
888,8,ship
889,2,bird
890,9,truck
891,8,ship
892,8,ship
893,1,automobile
894,5,dog
895,3,cat
896,6,frog
897,8,ship
898,7,horse
899,6,frog
900,9,truck
901,8,ship
902,0,airplane
903,6,frog
904,4,deer
905,0,airplane
906,0,airplane
907,2,bird
908,5,dog
909,8,ship
910,2,bird
911,0,airplane
912,2,bird
913,7,horse
914,6,frog
915,9,truck
916,7,horse
917,1,automobile
918,5,dog
919,5,dog
920,6,frog
921,6,frog
922,3,cat
923,6,frog
924,2,bird
925,4,deer
926,7,horse
927,0,airplane
928,5,dog
929,6,frog
930,4,deer
931,6,frog
932,5,dog
933,2,bird
934,4,deer
935,6,frog
936,1,automobile
937,6,frog
938,0,airplane
939,4,deer
940,0,airplane
941,3,cat
942,1,automobile
943,8,ship
944,5,dog
945,4,deer
946,4,deer
947,1,automobile
948,7,horse
949,3,cat
950,9,truck
951,4,deer
952,7,horse
953,9,truck
954,7,horse
955,3,cat
956,7,horse
957,2,bird
958,8,ship
959,4,deer
960,6,frog
961,6,frog
962,1,automobile
963,2,bird
964,9,truck
965,0,airplane
966,4,deer
967,8,ship
968,7,horse
969,3,cat
970,9,truck
971,8,ship
972,7,horse
973,7,horse
974,0,airplane
975,2,bird
976,4,deer
977,1,automobile
978,1,automobile
979,4,deer
980,1,automobile
981,5,dog
982,4,deer
983,0,airplane
984,5,dog
985,6,frog
986,2,bird
987,8,ship
988,5,dog
989,0,airplane
990,2,bird
991,1,automobile
992,3,cat
993,5,dog
994,7,horse
995,3,cat
996,5,dog
997,1,automobile
998,3,cat
999,5,dog
